implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SHARON DIVERSIFIED (PTY) LTD,2047773.56
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SHEMUNTU AND SONS,1980096.04
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SIDIKI APHIWE GROUP (PTY) LTD,1247198.25
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SIME & MZWIDA,2078376.62
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SISASESONKE TRADING AND PROJECTS (PTY) LTD,1439315.84
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SIVUYOLO INVESTMENTS,2120040.66
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SMALL BIRD BUS SERVICES,1757539.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SOKHULU PROMOTIONS,2151971.71
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SOYAMBA TRADING ENTERPRISE,2547533.22
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SPICE J GENERAL TRADING (PTY) LTD,1821464.15
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SPINDRIFT TRADING 12,1601990.62
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),S-PROFILE ALUMINIUM GUTTERS (PTY) LTD,1960616.64
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ST 75 CONSTRUCTION,1660032.57
