Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Pietermaritzburg,3/19/2020,Royal Phamarcy,Face mask,R           50.00,1,R                                 50.00,None
DPP Pietermaritzburg,3/19/2020,Royal Phamarcy,Latex gloves,R           75.00,6,R                               450.00,None
DPP Pietermaritzburg,3/19/2020,Workwear Depot,Clear specs,R           29.00,4,R                               116.00,None
DPP Pietermaritzburg,3/22/2020,Basix,330 ml spray bottle,R           15.00,10,R                               150.00,None
DPP Pietermaritzburg,3/22/2020,Basix,21 L Pride clear storage box,R           63.00,3,R                               189.00,None
DPP Pietermaritzburg,3/22/2020,Basix,750 ml spray bottle,R           10.00,20,R                               200.00,None
DPP Pietermaritzburg,3/22/2020,Phoenix Cash & Carry,Latex gloves,R           79.99,5,R                               399.95,None
DPP Pietermaritzburg,3/23/2020,Evolution Chemicals,20L Instant hand sanitizer,R         600.00,3,"R                            1,800.00",None
DPP Pietermaritzburg,4/8/2020,Inspired Bunny,Reusable cloth mask,R           40.00,100,"R                            4,000.00",None
DPP Pietermaritzburg,4/8/2020,Inspired Bunny,Reusable cloth mask,R           40.00,120,"R                            4,800.00",None
DPP Pietermaritzburg,4/23/2020,Inspired Bunny,Reusable cloth mask,R           40.00,100,"R                            4,000.00",None
DPP Pietermaritzburg,4/28/2020,Inspired Bunny,Reusable cloth mask,R           40.00,100,"R                            4,000.00",None
DPP Pietermaritzburg,4/29/2020,Shelving & Mezzanine,Essential Screen 600hx600w,R         489.90,1,R                               489.90,None
DPP Pietermaritzburg,5/20/2020,ZAKHANYA FITNESS,RE-USABLE FACE MASKS - DPP PIETERMARIZBURG AND DURBAN,,,"R                          21,420.00",None
DPP Pietermaritzburg,5/25/2020,ZAKHANYA FITNESS,Face cloth mask re-useable,R           18.00,288,"R                            5,184.00",None
DPP Pietermaritzburg,5/26/2020,MBUYISA HOLDINGS,SANITIZERS x 595 - DPP PMB AND DURBAN,,,"R                       177,905.00",None
DPP Pietermaritzburg,6/9/2020,Inspired Bunny,Hand Sanitizer stands,R         699.00,2,"R                            1,398.00",None
DPP Pietermaritzburg,6/12/2020,Mbuyisa Holdings (PTY) LTD,5l Hand Sanitizer,R         299.00,282,"R                         84,318.00",None
DPP PORT ELIZABETH,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                            3,750.00",None
DPP Pretoria,3/16/2020,Reggae Products,Reggae Hand cleaner 300ml,R           21.00,95 Bottles,"R                            1,995.00",None
DPP Pretoria,3/17/2020,Sweet Penny,Focus Nitri Gloves BL,R         130.00,01 Box,R                               130.00,None
DPP Pretoria,3/18/2020,Lynnwood Pharmacy,VIT Surgical Face Masks,R           22.95,5PC X 6,R                               137.70,None
DPP Pretoria,3/26/2020,Perfume Corner,reusable masks,R           30.00,12 Packets,R                               360.00,None
DPP Pretoria,3/26/2020,Perfume Corner,NatureX Hand Sanitizer,R         800.00,3x 5litres,"R                            2,400.00",None
DPP Pretoria,3/26/2020,Riz Trading,Face Masks Disposable,R             9 .15,10 Ea,R                                 91.50,None
DPP Pretoria,3/26/2020,Riz Trading,Face Masks Reusable,R           30.00,55 Ea,"R                            1,650.00",None
DPP Pretoria,3/26/2020,Riz Trading,Face Masks Disposable,R             9 .15,10 Ea,R                                 91.50,None
DPP Pretoria,3/29/2020,Dis Chem The Glen,Mask Dust FFP1,R           49.95,30 Ea,"R                            1,498.50",None
DPP Pretoria,4/24/2020,X CO Group,Vimbela Double Ply Plain Navy Masks,R           19.99,400 Ea,"R                            9,195.00",None
DPP Pretoria,5/12/2020,Pailesh PTY (LTD),2 Ply Facemasks,R           28.00,250,"R                            7,000.00",None
DPP Pretoria,5/18/2020,FORTISTLE,RE-USABLE FACE MASKS - PRETORIA,,,"R                          18,485.10",None
DPP Pretoria,5/26/2020,OFFF,SANITIZERS x 423 - DPP PRETORIA,,,"R                       125,982.09",None
DPP Pretoria,18/06/2020,TN Glass & Alluminium,Sanitizer Foot Operating Stand,R 500,10,"R                            5,000.00",None
DPP Western Cape,3/19/2020,M Distribution,hand sanitizer (200ml),R           75.00,12,R                               900.00,None
DPP Western Cape,3/19/2020,M Distribution,Hand sanitizer (5 L),R         660.00,2,"R                            1,320.00",None
DPP Western Cape,3/19/2020,Medi care Pharmacy,Disposable Gloves,R         138.95,5,R                               694.75,None
DPP Western Cape,3/19/2020,Medi care Pharmacy,Disposable Gloves,R           95.94,10,R                               959.40,None
DPP Western Cape,3/24/2020,AM Machine Shop,Steri Stand,R         419.16,6,"R                            2,515.00",None
