Name of Supplier / Service Provider,Commodity / Description of Services,"Order Amount/Rate per room
 (quarantine accommodation)"
Isumed,PPE for Isolation Rooms (Single Bed Blankets),1127
Isumed,"PPE for Isolation Rooms (Single Bed Matrass
 Cover)",3864
Isumed,PPE for Isolation Rooms (Single Bed Matrass),2760
Isumed,PPE for Isolation Rooms (Single Bed Sheets),207
Isumed,PPE for Isolation Rooms (Single Bed),5624
Isumed,PPE for Isolation Rooms Pillow Cases),552
Isumed,PPE for Isolation Rooms Pillows),874
IT Mathatlamdupro,Face masks,26000
IT Mathatlamdupro,Latex Gloves,26000
IT Mathatlamdupro,Thermometer,9600
Ityatyambo Business,Cleaning Magistrate courts:  Barkly East,32471
Ityatyambo Business,Cleaning Magistrate courts: Dordrecht,34865
Ityatyambo Business,Cleaning Magistrate courts: Lady Grey,29530
JH Pest Control,"Cluster 7 Courts: Cleaning and
 Decontamination - Augrabies, Upington MC,
 Kenhardt, Rietfontein, Griekwastad,
 Grobblershoop and Niekerkshoop Periodic
 Courts",150308
JOD Consulting,1litre Hand Sanitisers,875
Kabela Trading,"Provision of cleaning services at Germiston,
 Hardach, Edenvale and Kemptonpark
 Magistrate Courts  (JHBE19/280)",61166
Kabela Trading,"Provision of cleaning services at Germiston,
 Hardach, Edenvale and Kemptonpark
 Magistrate Courts  (JHBE19/280)",106691
Kabela Trading,"Provision of cleaning services at Germiston,
 Hardach, Edenvale and Kemptonpark
 Magistrate Courts  (JHBE20/022)",143836
Kabi And Tefo construction,"Springfontein Magistrate Office: Service for
 April 2020",8004
Kabi And Tefo construction,"Springfontein Magistrate Office: Service for
 JULY 2020",8004
Kabi And Tefo construction,"Springfontein Magistrate Office: Service for
 JUNE 2020",8004
Kabi And Tefo construction,"Springfontein Magistrate Office: Service for
 MAY 2020",8004
"Kalesegompho General Suppliers
 and Maintenance",Cleaning Services Koster,63189
Kamanga Trading,"Justice Various Magistrate Courts: Ugu District
 Municipality Decontamination of facilities  to
 prevent & combat spread of Covid-19",1050448
KB 16 Lebo Trading (Pty)Ltd,Cleaning Services Delareyville,31250
Khakhakha,Decontamination at Palace of Justice,173189
Kim Xtreme Clean & Trading,Purchasing of 500ml plastic spray bottles,15000
KING COBRA TRADING CC,Cleaning Magistrate courts: Centane,23020
KING COBRA TRADING CC,Cleaning Magistrate courts: Centane,13400
KING COBRA TRADING CC,Cleaning Magistrate courts: Centane,18600
KING COBRA TRADING CC,Cleaning Magistrate courts: Ngqamakhwe,22920
KING COBRA TRADING CC,Cleaning Magistrate courts: Ngqamakhwe,13100
KING COBRA TRADING CC,Cleaning Magistrate courts: Ngqamakwe,18600
King Kung,"Decontamination at Soshanguve Magistrate
 Court",108178
"Kings Tide Boutique Hotel – Port
 Elizabeth",Accommodation: Quarantine Site,1050
Kol Logistics,Decontamination of Feziile District,85324
Kol Logistics,Decontamination of Lejweleputswa District,164940
Kol Logistics,Decontamination of Mangaung District,241907
