buyer_name,implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-22,Phoenix Cash & Carry,Latex gloves,79.99,5,5,399.95,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-22,Evolution Chemicals,20L Instant hand sanitizer,600,3,3,1800,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-08-04,Inspired Bunny,Reusable cloth mask,40,100,100,4000,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-08-04,Inspired Bunny,Reusable cloth mask,40,120,120,4800,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-04-23,Inspired Bunny,Reusable cloth mask,40,100,100,4000,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-04-28,Inspired Bunny,Reusable cloth mask,40,100,100,4000,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-04-29,Shelving & Mezzanine,Essential Screen 600hx600w,489.9,1,1,489.9,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-05-20,ZAKHANYA FITNESS,RE-USABLE FACE MASKS - DPP PIETERMARIZBURG AND DURBAN,,,,21420,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-05-25,ZAKHANYA FITNESS,Face cloth mask re-useable,18,288,288,5184,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-05-26,MBUYISA HOLDINGS,SANITIZERS x 595 - DPP PMB AND DURBAN,,,,177905,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-09-06,Inspired Bunny,Hand Sanitizer stands,699,2,2,1398,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-12-06,Mbuyisa Holdings (PTY) LTD,5l Hand Sanitizer,299,282,282,84318,None
Department of Justice and Constitutional Development, DPP PORT ELIZABETH,2020-01-06,Decontimination of offices,Decontamination,,,,3750,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-16,Reggae Products,Reggae Hand cleaner 300ml,21,95,95 Bottles,1995,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-17,Sweet Penny,Focus Nitri Gloves BL,130,,01 Box,130,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-18,Lynnwood Pharmacy,VIT Surgical Face Masks,22.95,,5PC X 6,137.7,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-26,Perfume Corner,reusable masks,30,,12 Packets,360,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-26,Perfume Corner,NatureX Hand Sanitizer,800,,3x 5litres,2400,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-26,Riz Trading,Face Masks Disposable,9.15,,10 Ea,91.5,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-26,Riz Trading,Face Masks Reusable,30,,55 Ea,1650,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-26,Riz Trading,Face Masks Disposable,9.15,,10 Ea,91.5,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-03-29,Dis Chem The Glen,Mask Dust FFP1,49.95,,30 Ea,1498.5,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-04-24,X CO Group,Vimbela Double Ply Plain Navy Masks,19.99,,400 Ea,9195,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-12-05,Pailesh PTY (LTD),2 Ply Facemasks,28,250,250,7000,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-05-18,FORTISTLE,RE-USABLE FACE MASKS - PRETORIA,,,,18485.1,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-05-26,OFFF,SANITIZERS x 423 - DPP PRETORIA,,,,125982.09,None
Department of Justice and Constitutional Development, DPP Pretoria,2020-06-18,TN Glass & Alluminium,Sanitizer Foot Operating Stand,500,10,10,5000,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-03-19,M Distribution,hand sanitizer (200ml),75,12,12,900,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-03-19,M Distribution,Hand sanitizer (5 L),660,2,2,1320,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-03-19,Medi care Pharmacy,Disposable Gloves,138.95,5,5,694.75,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-03-19,Medi care Pharmacy,Disposable Gloves,95.94,10,10,959.4,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-03-24,AM Machine Shop,Steri Stand,419.16,6,6,2515,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-04-16,Oh Darling Standpoint,Reusable Cloth Facemasks,166,30,30,4980,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-04-16,Oh Darling Standpoint,Reusable Cloth Facemasks,300,30,30,9000,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-04-29,AK Manufacturing,Reusable Cloth Facemasks,10,800,800,8000,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-05-28,Oh Darling Standpoint,Hand Sanitizers,580,15,15,8700,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-05-18,Decontamination of offices,Decontamination,,,,16353,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-06-09,Decontamination of offices,Decontamination,,,,16353,None
Department of Justice and Constitutional Development, DPP Western Cape,2020-06-29,Decontamination of offices,Decontamination,,,,16353,None
Department of Justice and Constitutional Development, NPA Head Office,2020-03-23,The amount for services was R 49059.00 per decontamination.,GLOVES x 5 000 BOXES OF 100 - COVID-19,49.86,,5000 X Boxes of 100,249300,None
Department of Justice and Constitutional Development, NPA Head Office,2020-03-24,TARA TECHNOLOGIES,CONTAINERS x 50 x 25LT,125,50,50,6250,None
Department of Justice and Constitutional Development, NPA Head Office,2020-03-24,VITAL LIFE MEDICAL DISTRIBUTORS,SANITIZER - DETERGENT x 2000,40.37,2,2,80740,None
