Health,,iti,Disi,Sanitizer/ Disi,,Single Unit,"R143,00 40000","R5 720 000,00 | National C",,,,
Health,,Masks,Mask jie,Surgical Mask - 3-Ply - Ear Loop,,Single Unit,"R15,50 250000","R3 875 000,00 | B",,,,
Health,,iti,Disinfectar,Sanitizer/ Disi,,Single Unit,"R103,50 41000","R4 243 500,00 | Steiner Hygiene",,,,
Health,,iti:,Disinfectai,Sanitizer/ Disi,,Single Unit,"R105,80 12000","R1 269 600,00 | LionBee ht (Pty) Ltd",,,,
Health,,Masks,Mask jie,Surgical Mask - 3-Ply - Ear Loop,,Single Unit,"R25,00 100000","R2 500 000,00 | The New Look",,,,
Health,,iti,Disi,Sanitizer/ Disi,,Single Unit,"R95,00 30000","R2 850 000,00 | Cyngatha CC.",,,,
Health,,,Disinfectar,Sanitizer/ Dish,,Single Unit,"R105,80 20000","R2 116 000,00 | Gibela Trade & Invest",,,,
Health,,PPE,Visor/ Face-Shield,Visor! Face-Shield,,Single Unit,"R18,00 60000","R1 080 000,00 | Unitrade",,,,
Health,,PPE,Isolation Gown,Isolation Gown,,Single Unit,"R59,95. 100000","R5 985 000,00 | Lechoba Medical",,,,
Health,,Masks,Respirator,Particulate Respi (Mask) N9S/FFP2,,Single Unit,"49,00. 200000","R8 800 000,00 | Andile Ruby Trading",,,,
Health,,Th,Tl Digital,Digital Body Th,,Single Unit,"R2 300,00 500","R1 150 000,00",,,,
Health,,PPE,Gowns: Surgical,Surgical Gown,,Single Unit,"R36,46 1440","R52 500,00 O and M Halyard South Africa",,,,
Health 1,,PPE,Gowns: Surgical,Surgical Gown  Single Unit,,,"R37,95. 15000","R569 250,00 Se Trading cc",,,,
Health 1,,Masks,Respirator,Particulate Respi (Mask) N9S/FFP2,,Single Unit,"R60,00 100000","R6 000 000,00 | Juba Fly",,,,
Health 1,,Masks,Mask,Surgical Mask - 3-Ply - Ear Loop,,Single Unit,"R21,66 18000","R389 880,00 t",,,,
