Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
NPA Head Office - AFF,4/1/2020,REBOSIS PROPERTY FUND,Knapsack Sprayer Batery,"     2,760.00",2,"                            5,520.00",None
NPA Head Office - AFF,5/1/2020,REBOSIS PROPERTY FUND,3 Ply Face Masks,           40.25,600,"                         24,150.00",None
NPA Head Office - AFF,5/7/2020,REBOSIS PROPERTY FUND,Hand Sanitizer Station without bottle,         782.00,10,"                            7,820.00",None
NPA Head Office - AFU,3/23/2020,Crystal Medical Supplies,Hand Sanitizer,           30.00,25,                               750.00,None
NPA Head Office - AFU,3/23/2020,Crystal Medical Supplies,Liquid Soap,          60.00,20,"                            1,200.00",None
NPA Head Office - SOCA,5/19/2020,ARISING VISONARIES,HAND SANITIZERS x 220,,,"                         23,100.00",None
NPA Head Office (HR),5/7/2020,BAITSEKAGO PROJECTS,DIGITAL INFRARED NON-CONTACT THERMOMETER,,,"                         76,500.00",None
NPA Head Office (HR),5/19/2020,EKHAYA INVESTMENTS,RE-USABLE FACE MASKS - GAUTENG - VGM,,,"                         62,748.00",None
NPA Head Office (HR),5/25/2020,SINGULARITY TRADING COMPANY,SANITIZERS x 709 - VGM,,,"                       201,356.00",None
OWP Eastern Cape,3/18/2020,DIS-CHEM PHAMARCY,Latex Gloves, 3.50,24,                                 84.00,None
OWP Eastern Cape,3/18/2020,DIS-CHEM PHAMARCY,Surgical Spirit, 17.95,4,                                 71.80,None
OWP Eastern Cape,3/18/2020,DIS-CHEM PHAMARCY,Wet Wipes, 34.95,2 packs,                                 69.90,None
OWP Eastern Cape,3/19/2020,DASH DISTRIBUTORS,Hand Saniters, 370.00,20 x5L,"                           7,400.00",None
OWP Eastern Cape,4/16/2020,M F EMBROIDERY,Material Face Masks, 22.00,62,"                           1,364.00",None
OWP Eastern Cape,4/29/2020,M F EMBROIDERY,Material Face Masks, 22.00,85,"                            1,870.00",None
OWP Free State,4/2/2020,Dischem,EP004 Disposable Masks,           50.00,60,"                            2,997.00",None
OWP Free State,4/29/2020,MI Touto,Masks - Re-usable,           20.00,35,                               700.00,None
OWP Free State,4/29/2020,Ppppie Botha,Masks - Re-usable,           20.00,26,                               520.00,None
OWP Gauteng,3/17/2020,TNT Pest control,Masks,           17.00,400,"                            6,800.00",None
OWP Gauteng,3/17/2020,4M Chemicals,Hand Disinfectant 70% A,           60.00,100,"                            6,000.00",None
OWP Gauteng,3/17/2020,4M Chemicals,Gloves,         150.00,20,"                            3,000.00",None
OWP Gauteng,3/17/2020,4M Chemicals,Alcahol,,,,None
OWP Gauteng,3/17/2020,4M Chemicals,Antibacterial Surface,,,,None
OWP Gauteng,3/17/2020,4M Chemicals,cleaner 70% Alcohol,         183.00,5,                               915.00,None
OWP Head Office,5/11/2020,SHANEAL DISTRIBUTORS,INFRARED NON-CONTACT THERMOMETERS,,,"                        63,000.00",None
OWP Head Office,6/9/2020,ROYAL TREAT TRADING,RE-USABLE FACE MASKS x 2000,,,"                          45,800.00",None
OWP Head Office,6/12/2020,BLENDED OAKS,FOOT PEDAL HAND SANITIZER STAND - FREE STATE OFFICE,,,"                            1,043.80",None
