implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
 DPP Pretoria,2020-03-26,Perfume Corner,NatureX Hand Sanitizer,800.00,,3x 5litres,2400.00,None
 DPP Pretoria,2020-03-26,Riz Trading,Face Masks Disposable,9.15,,10 Ea,91.50,None
 DPP Pretoria,2020-03-26,Riz Trading,Face Masks Reusable,30.00,,55 Ea,1650.00,None
 DPP Pretoria,2020-03-26,Riz Trading,Face Masks Disposable,9.15,,10 Ea,91.50,None
 DPP Pretoria,2020-03-29,Dis Chem The Glen,Mask Dust FFP1,49.95,,30 Ea,1498.50,None
 DPP Pretoria,2020-04-24,X CO Group,Vimbela Double Ply Plain Navy Masks,19.99,,400 Ea,9195.00,None
 DPP Pretoria,2020-12-05,Pailesh PTY (LTD),2 Ply Facemasks,28.00,250,250,7000.00,None
 DPP Pretoria,2020-05-18,FORTISTLE,RE-USABLE FACE MASKS - PRETORIA,,,,18485.10,None
 DPP Pretoria,2020-05-26,OFFF,SANITIZERS x 423 - DPP PRETORIA,,,,125982.09,None
 DPP Pretoria,2020-06-18,TN Glass & Alluminium,Sanitizer Foot Operating Stand,500,10,10,5000.00,None
 DPP Western Cape,2020-03-19,M Distribution,hand sanitizer (200ml),75.00,12,12,900.00,None
 DPP Western Cape,2020-03-19,M Distribution,Hand sanitizer (5 L),660.00,2,2,1320.00,None
 DPP Western Cape,2020-03-19,Medi care Pharmacy,Disposable Gloves,138.95,5,5,694.75,None
 DPP Western Cape,2020-03-19,Medi care Pharmacy,Disposable Gloves,95.94,10,10,959.40,None
 DPP Western Cape,2020-03-24,AM Machine Shop,Steri Stand,419.16,6,6,2515.00,None
 DPP Western Cape,2020-04-16,Oh Darling Standpoint,Reusable Cloth Facemasks,166.00,30,30,4980.00,None
 DPP Western Cape,2020-04-16,Oh Darling Standpoint,Reusable Cloth Facemasks,300.00,30,30,9000.00,None
 DPP Western Cape,2020-04-29,AK Manufacturing,Reusable Cloth Facemasks,10.00,800,800,8000.00,None
 DPP Western Cape,2020-05-28,Oh Darling Standpoint,Hand Sanitizers,580.00,15,15,8700.00,None
 DPP Western Cape,2020-05-18,Decontamination of offices,Decontamination,,,,16353.00,None
 DPP Western Cape,2020-06-09,Decontamination of offices,Decontamination,,,,16353.00,None
 DPP Western Cape,2020-06-29,Decontamination of offices,Decontamination,,,,16353.00,None
 NPA Head Office,2020-03-23,The amount for services was R 49059.00 per decontamination.,GLOVES x 5 000 BOXES OF 100 - COVID-19,49.86,,5000 X Boxes of 100,249300.00,None
 NPA Head Office,2020-03-24,TARA TECHNOLOGIES,CONTAINERS x 50 x 25LT,125.00,50,50,6250.00,None
 NPA Head Office,2020-03-24,VITAL LIFE MEDICAL DISTRIBUTORS,SANITIZER - DETERGENT x 2000,40.37,2,2,80740.00,None
 NPA Head Office,2020-03-24,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER x 5000 - 500ml,60.75,5,5,303750.00,None
 NPA Head Office,2020-03-25,SHANEAL DISTRIBUTORS,SANITIZER - 23 x 5LT and 4600 X 100ML,177100.00,,"23 X5LT
 4600 X 100ML",177100.00,None
 NPA Head Office,2020-04-14,ARJO HUNTLEIGH SOUTH AFRICA,SICK BEDS x 15,1565.30,15,15,23479.50,None
 NPA Head Office,2020-04-20,Imperial Health Sciences,PPE - FACE SHIELDS,9.00,5,5,45000.00,None
 NPA Head Office,2020-05-15,T M C TRADING,NON-CONTACT INFRARED THERMOMETERS,,9,,15192.45,None
 NPA Head Office,2020-01-07,Decontimination of offices,Decontamination,0,,0,94522.40,None
 NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Sanitiser Liquid 5Lt,545.10,10,10,5451.00,None
 NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Latex gloves,1454.75,1,1,1454.75,None
 NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Latex gloves,1454.75,1,1,1454.75,None
 NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Sanitiser Spray Bottles - 100ml,49.45,900,900,44505.00,None
 NPA Head Office - AFF,2020-03-25,REBOSIS PROPERTY FUND,Hand Sanitisers,177.10,5,5,885.50,None
 NPA Head Office - AFF,2020-03-26,REBOSIS PROPERTY FUND,Sanitiser Sachets (100X2ml),431.25,37,37,15956.25,None
 NPA Head Office - AFF,2020-01-04,REBOSIS PROPERTY FUND,Surface Disinfectant,34.50,500,500,17250.00,None
 NPA Head Office - AFF,2020-01-04,REBOSIS PROPERTY FUND,Knapsack Sprayer Batery,2760.00,2,2,5520.00,None
 NPA Head Office - AFF,2020-01-05,REBOSIS PROPERTY FUND,3 Ply Face Masks,40.25,600,600,24150.00,None
 NPA Head Office - AFF,2020-07-05,REBOSIS PROPERTY FUND,Hand Sanitizer Station without bottle,782.00,10,10,7820.00,None
 NPA Head Office - AFU,2020-03-23,Crystal Medical Supplies,Hand Sanitizer,30.00,25,25,750.00,None
 NPA Head Office - AFU,2020-03-23,Crystal Medical Supplies,Liquid Soap,60.00,20,20,1200.00,None
 NPA Head Office - SOCA,2020-05-19,ARISING VISONARIES,HAND SANITIZERS x 220,,,,23100.00,None
 NPA Head Office (HR),2020-07-05,BAITSEKAGO PROJECTS,DIGITAL INFRARED NON-CONTACT THERMOMETER,,,,76500.00,None
