buyer_name,supplier_name,bbbee_status,items_description,items_quantity,items_unit,"(f) Average unit
 price","(g) Date of
 applicable
 National
 Treasury price",order_amount_zar,"(i) Turnaround
 time of
 payment"
Legal Aid South Africa, Democratic Cleaning Services,N/A,Sanitisers and Gloves,,N/A,N/A,N/A,1770,30 days
Legal Aid South Africa, Benita Jonker Supplies,N/A,Sanitisers,,N/A,N/A,N/A,1800,30 days
Legal Aid South Africa, Benita Jonker Supplies,N/A,Gloves,,N/A,N/A,N/A,154.85,30 days
Legal Aid South Africa, Medirex Pharmacy,N/A,Sanitisers,,N/A,N/A,N/A,1000,30 days
Legal Aid South Africa, Medirex Pharmacy,N/A,Gloves,,N/A,N/A,N/A,1000,30 days
Legal Aid South Africa, Clicks - Bloemfontein,N/A,Sanitisers,,N/A,N/A,N/A,150,30 days
Legal Aid South Africa, Clicks - Kroonstad,N/A,Sanitisers,,N/A,N/A,N/A,270,30 days
Legal Aid South Africa, Sheild Safety,N/A,Sanitisers,,N/A,N/A,N/A,998,30 days
Legal Aid South Africa, Karleze Designs,N/A,Masks,,N/A,N/A,N/A,450,30 days
Legal Aid South Africa, Ajams store,N/A,Masks,,N/A,N/A,N/A,170,30 days
Legal Aid South Africa, Ajams store,N/A,Gloves,,N/A,N/A,N/A,100,30 days
Legal Aid South Africa, Ajams store,N/A,Masks,,N/A,N/A,N/A,350,30 days
Legal Aid South Africa, Game-Mafikeng,N/A,Sanitisers,,N/A,N/A,N/A,450,30 days
Legal Aid South Africa, Dischem Pharmacy-Potchefstroom,N/A,Gloves,,N/A,N/A,N/A,450,30 days
Legal Aid South Africa, Woolworths-Qwaqwa,N/A,Sanitisers,,N/A,N/A,N/A,760,30 days
Legal Aid South Africa, Dischem Pharmacy-Rustenburg,N/A,Sanitisers,,N/A,N/A,N/A,200,30 days
Legal Aid South Africa, Alpha pharmacy-Vryburg,N/A,Sanitisers,,N/A,N/A,N/A,660,30 days
Legal Aid South Africa, Alpha pharmacy-Vryburg,N/A,Gloves,,N/A,N/A,N/A,150,30 days
Legal Aid South Africa, Crazy Plastics,N/A,Wipes,,N/A,N/A,N/A,399.9,30 days
Legal Aid South Africa, Dischem Pharmacy-Welkom,N/A,Gloves,,N/A,N/A,N/A,95,30 days
Legal Aid South Africa, Dischem Pharmacy-Welkom,N/A,Sanitisers,,N/A,N/A,N/A,239.7,30 days
Legal Aid South Africa, Dischem Pharmacy-Welkom,N/A,Masks,,N/A,N/A,N/A,499.5,30 days
Legal Aid South Africa, Elizabeth Pharmacy-Welkom,N/A,Sanitisers,,N/A,N/A,N/A,499.9,30 days
Legal Aid South Africa, Elizabeth Pharmacy-Welkom,N/A,Masks,,N/A,N/A,N/A,300,30 days
Legal Aid South Africa, Elizabeth Pharmacy-Welkom,N/A,Gloves,,N/A,N/A,N/A,172.9,30 days
Legal Aid South Africa, Pick n Pay-Bloemfontein,N/A,Sanitisers & wipes,,N/A,N/A,N/A,300,30 days
Legal Aid South Africa, First Technology-Bloemfontein,N/A,Sanitisers,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Rivoni Matimba,3 years-Level 1 BEE contribut,Arccess Point Network(APN,250 APNs,N/A,1200,N/A,300000,30 days
Legal Aid South Africa, Intternet Solutions,>10 years-Level 2 BEE contri,Autcocress Point Network(APN) sims,250 sim cards,N/A,100,N/A,25000,30 days
Legal Aid South Africa, Intternet Solutions,>10 years-Level 2 BEE contri,Autcocress Point Network(line rental),,N/A,N/A,N/A,60000,30 days
Legal Aid South Africa, Intternet Solutions,>10 years-Level 2 BEE contri,Iuntcorrease in data usage,,N/A,N/A,N/A,1200000,30 days
Legal Aid South Africa, Cellphone allowances to staff,N/A,Cellphone allowances,,N/A,N/A,N/A,1125651,30 days
