buyer_name,supplier_name,items_description,order_amount_zar,items_quantity
Department of Defence (DoD), RPF Group,Masks: Surgical,480000.00,20000
Department of Defence (DoD), S A HEALTH PROTECTING SERVICES,Protective Clothing,13165200.00,12000
Department of Defence (DoD), S AND EXCELLENT TRADING (PTY)LTD,Masks: Surgical,750000.00,60 000
Department of Defence (DoD), S AND EXCELLENT TRADING (PTY)LTD,Surgical Gloves,760000.00,2000
Department of Defence (DoD), SAETRA HEALTH SOLUTIONS,Protective Clothing,239464.00,1848
Department of Defence (DoD), SAFARMEX PTY LTD,Surgical Gloves,13740.00,200
Department of Defence (DoD), Salusise Medical Supplies,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), SANDAMELI INVESTMENT,Surgical Gloves,937500.00,2500
Department of Defence (DoD), SENZENI CORNER (PTY)LTD,Masks: Surgical,780000.00,60000
Department of Defence (DoD), Sepekepeke Trading (Pty) Ltd,Masks: Surgical,2060000.00,80 000
Department of Defence (DoD), Sepekepeke Trading (Pty) Ltd,Surgical Gloves,2236000.00,6 000
Department of Defence (DoD), Shaphu's Catering and Construction cc,Masks: Surgical,530000.00,20 000
Department of Defence (DoD), Shawnways (Pty) Ltd,Masks: Surgical,1920000.00,80 000
Department of Defence (DoD), Shayela Trading,Masks: Surgical,820000.00,120000
Department of Defence (DoD), SINAFUTHI GROUP,Masks: Surgical,750000.00,60000
